product_id,product_name,description,category,subcategory,brand,price,cost,inventory_count,reorder_level,supplier_id,weight,length,width,height,is_active,created_date,last_updated
46685257-bdd6-40fb-8667-1ad11c80317f,Fully-configurable directional challenge,Democratic shake bill here. Suggest page southern role movie win.,Sports,Fitness,Sony,47.27,24.76,114,27,12476f57-a5e5-45ab-aefc-fad8efc89849,11.18,35.45,45.15,2.65,True,2025-06-09T15:07:05,2026-08-16T15:07:05
baa80dd4-88bd-4407-abcf-be01a28defe3,Fully-configurable cohesive Local Area Network,Current hear claim well two truth out major. Upon these story film. Drive note bad rule.,Electronics,Laptops,Sony,356.66,239.29,287,35,702753a1-5f98-4c71-a65e-688eabf3ad39,10.88,36.56,23.88,9.53,True,2025-03-07T12:05:59,2025-12-17T12:05:59
3985c3cf-3f76-4e1d-9efa-21977394988f,Cloned global adapter,Eat couple large instead. Leg themselves away space task. Anything yourself structure why.,Sports,Outdoor,Sony,516.97,242.96,490,53,b253d218-6c4a-47ea-8906-17f2747b6dba,1.98,22.1,21.15,7.54,False,2024-05-27T01:15:07,2025-02-22T01:15:07
27a0c3d7-7c96-4f79-b7e9-9acaa97065e1,Ergonomic explicit data-warehouse,Save article finish anyone live try most arm. Bag control organization push dog build three.,Beauty,Skincare,Apple,1459.94,832.66,282,47,75523327-0262-4f73-9292-2f83ef8c485b,12.53,32.83,43.78,11.97,True,2024-09-22T17:05:23,2026-09-14T17:05:23
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Compatible national data-warehouse,Painting response data plant enough. Economy traditional anything plant stop analysis four.,Sports,Fitness,IKEA,1161.87,979.86,437,39,5d59cd2a-4eea-44e7-8ab5-4bde20a04502,13.06,22.11,25.4,16.85,False,2025-04-13T20:59:26,2025-09-27T20:59:26
ae9bec36-35c7-436c-9b99-62c6e61fecc0,Fully-configurable static benchmark,Develop staff least figure somebody dinner age.,Clothing,Kids,Adidas,407.8,335.01,331,19,ba81edd9-587e-4344-af3f-920c98b8e4cc,9.33,12.7,37.81,4.1,True,2020-05-03T22:46:38,2021-05-27T22:46:38
82ec9f2d-fbf6-416f-9b30-80d56fb78271,Customizable human-resource orchestration,And job mind southern rather. Hair attorney professional form finish.,Sports,Outdoor,IKEA,1265.85,948.37,117,14,d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,12.17,23.05,7.98,18.35,True,2022-09-01T13:28:33,2024-04-04T13:28:33
6e0d2648-35ce-4841-8973-2d6c4dcabfb7,Reduced real-time projection,Increase picture create recent manager during prevent. Throughout team those.,Sports,Outdoor,LG,599.49,486.51,234,28,79844388-dc8a-4e30-be60-33f728be9288,4.34,16.1,30.26,5.99,False,2020-01-02T06:16:08,2021-08-23T06:16:08
d701410d-3f4b-4a70-8074-718e425a609f,Sharable even-keeled throughput,Sit prepare senior wear. Stuff perform draw list boy.,Home & Kitchen,Furniture,LG,1496.02,691.53,252,21,32c5bd89-b70b-4420-b104-3785658b2523,11.46,43.75,11.88,4.04,True,2023-10-30T07:38:01,2025-09-26T07:38:01
a092f52a-d4a0-47a7-b0cc-1b3b9793b9b4,Fully-configurable bi-directional standardization,South someone not American mouth product attention positive. Support state black.,Books,Non-Fiction,Adidas,897.87,548.26,128,80,4223623b-cc3e-4dde-9ad5-cf06364d7c87,12.98,5.52,37.43,13.95,False,2020-08-24T02:42:28,2022-02-25T02:42:28
b380c73a-989d-4d4a-a15c-a6664797b2c9,Grass-roots next generation access,Firm sea week real course. Everybody operation set others wonder strategy fast.,Electronics,Tablets,Adidas,657.8,397.43,488,43,d2762bdc-1d34-408e-ba4c-75d4dc99e04c,14.59,39.29,27.85,3.02,True,2022-11-23T09:30:12,2024-08-25T09:30:12
93b7a886-12f7-4c97-bde3-1a516694c343,Self-enabling systemic application,Specific we be easy. Share paper so difficult mission late kind.,Clothing,Women,Adidas,1146.14,736.65,398,77,a5cb63a2-398d-4ca6-8b68-70b51d61fac3,13.82,31.95,26.99,3.13,True,2020-07-22T00:21:34,2021-07-29T00:21:34
246998e8-d39e-498b-8400-7d5ae88da719,Compatible analyzing concept,See notice eye buy read record wall matter. Just our threat same page ago director.,Electronics,Laptops,Dell,1318.23,1089.03,43,72,d045dd1c-6684-49e3-b1f8-343ea99f1318,12.33,49.01,28.97,3.39,True,2021-04-07T21:27:16,2023-02-12T21:27:16
50843242-168b-4625-b46f-78910964fbbf,Function-based fresh-thinking budgetary management,Add impact different success box water positive. Marriage respond meeting event.,Home & Kitchen,Cookware,IKEA,1309.93,773.4,108,79,dd81b7f5-7d59-41c6-a8f1-e091ffb8102d,11.45,36.04,37.08,8.58,False,2024-09-05T02:10:35,2026-07-25T02:10:35
585a0afa-7bfd-4c12-89e0-6ab37250ee18,Managed neutral task-force,Between treat address century that wide. Light wide full realize.,Beauty,Makeup,Sony,190.3,95.36,173,12,b4323070-a23d-4c2f-82a7-96891933918c,9.03,15.36,14.91,2.35,True,2021-04-06T16:04:38,2023-01-13T16:04:38
4ca9cf07-b1aa-4f6a-aa96-e1e27194eae2,Assimilated 6thgeneration Graphic Interface,Grow issue each include radio. Color bad that people.,Electronics,Mobile Phones,L'Oréal,1290.86,557.5,121,45,b0b862ef-6c9f-42b9-b647-8986a3917c99,10.2,14.64,10.95,18.77,False,2020-11-08T06:21:46,2022-06-16T06:21:46
32ffe294-4d57-4880-9865-d69a74f33103,Networked mission-critical benchmark,Occur offer yeah far within probably. Account ten sing wind treat.,Clothing,Women,Apple,1213.17,589.22,49,94,c958e75e-21d5-4971-b367-49b52cf6bf75,6.75,24.06,26.02,14.85,True,2022-02-16T00:40:31,2024-01-07T00:40:31
87e5f0fe-5da8-46d2-b8b3-8a8be05fb8bc,Profit-focused encompassing concept,Whose far that sound life away senior. Team right woman whose source.,Books,Academic,Apple,515.56,406.13,127,34,102efde5-a5cc-4bf7-b8ab-854c9c2e58de,3.26,25.19,23.98,6.29,False,2024-08-02T21:09:26,2025-04-15T21:09:26
